"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
18,"WholeDisplay","Binding",4,1,14,18
18,"WholeDisplay","Binding",6,0,4,18
18,"WholeDisplay","Binding",6,1,9,18
18,"WholeDisplay","Colour",4,0,0,18
18,"WholeDisplay","Colour",4,1,16,18
18,"WholeDisplay","Colour",6,0,1,18
18,"WholeDisplay","Colour",6,1,15,18
18,"WholeDisplay","Shape",4,0,1,18
18,"WholeDisplay","Shape",4,1,13,18
18,"WholeDisplay","Shape",6,0,1,18
18,"WholeDisplay","Shape",6,1,11,18
19,"DualProbe","Binding",4,0,4,18
19,"DualProbe","Binding",4,1,8,18
19,"DualProbe","Binding",6,0,10,18
19,"DualProbe","Binding",6,1,14,18
19,"DualProbe","Colour",4,0,6,18
19,"DualProbe","Colour",4,1,17,18
19,"DualProbe","Colour",6,0,8,18
19,"DualProbe","Colour",6,1,16,18
19,"DualProbe","Shape",4,0,5,18
19,"DualProbe","Shape",4,1,16,18
19,"DualProbe","Shape",6,0,5,18
19,"DualProbe","Shape",6,1,13,18
19,"WholeDisplay","Binding",4,0,2,18
19,"WholeDisplay","Binding",4,1,10,18
19,"WholeDisplay","Binding",6,0,2,18
19,"WholeDisplay","Binding",6,1,7,18
19,"WholeDisplay","Colour",4,0,3,18
19,"WholeDisplay","Colour",4,1,14,18
19,"WholeDisplay","Colour",6,0,1,18
19,"WholeDisplay","Colour",6,1,12,18
19,"WholeDisplay","Shape",4,0,0,18
19,"WholeDisplay","Shape",4,1,15,18
19,"WholeDisplay","Shape",6,0,0,18
19,"WholeDisplay","Shape",6,1,12,18
20,"DualProbe","Binding",4,0,3,18
20,"DualProbe","Binding",4,1,16,18
20,"DualProbe","Binding",6,0,6,18
20,"DualProbe","Binding",6,1,14,18
20,"DualProbe","Colour",4,0,0,18
20,"DualProbe","Colour",4,1,18,18
20,"DualProbe","Colour",6,0,3,18
20,"DualProbe","Colour",6,1,15,18
20,"DualProbe","Shape",4,0,4,18
20,"DualProbe","Shape",4,1,15,18
20,"DualProbe","Shape",6,0,5,18
20,"DualProbe","Shape",6,1,15,18
20,"WholeDisplay","Binding",4,0,4,18
20,"WholeDisplay","Binding",4,1,11,18
20,"WholeDisplay","Binding",6,0,4,18
20,"WholeDisplay","Binding",6,1,14,18
20,"WholeDisplay","Colour",4,0,3,18
20,"WholeDisplay","Colour",4,1,18,18
20,"WholeDisplay","Colour",6,0,3,18
20,"WholeDisplay","Colour",6,1,15,18
20,"WholeDisplay","Shape",4,0,3,18
20,"WholeDisplay","Shape",4,1,16,18
20,"WholeDisplay","Shape",6,0,2,18
20,"WholeDisplay","Shape",6,1,11,18
21,"DualProbe","Binding",4,0,4,18
21,"DualProbe","Binding",4,1,16,18
21,"DualProbe","Binding",6,0,6,18
21,"DualProbe","Binding",6,1,15,18
21,"DualProbe","Colour",4,0,8,18
21,"DualProbe","Colour",4,1,18,18
21,"DualProbe","Colour",6,0,7,18
21,"DualProbe","Colour",6,1,16,18
21,"DualProbe","Shape",4,0,3,18
21,"DualProbe","Shape",4,1,18,18
21,"DualProbe","Shape",6,0,6,18
21,"DualProbe","Shape",6,1,16,18
21,"WholeDisplay","Binding",4,0,5,18
21,"WholeDisplay","Binding",4,1,3,18
21,"WholeDisplay","Binding",6,0,3,18
21,"WholeDisplay","Binding",6,1,12,18
21,"WholeDisplay","Colour",4,0,2,18
21,"WholeDisplay","Colour",4,1,15,18
21,"WholeDisplay","Colour",6,0,1,18
21,"WholeDisplay","Colour",6,1,12,18
21,"WholeDisplay","Shape",4,0,6,18
21,"WholeDisplay","Shape",4,1,17,18
21,"WholeDisplay","Shape",6,0,3,18
21,"WholeDisplay","Shape",6,1,14,18
22,"DualProbe","Binding",4,0,8,18
22,"DualProbe","Binding",4,1,12,18
22,"DualProbe","Binding",6,0,8,18
22,"DualProbe","Binding",6,1,14,18
22,"DualProbe","Colour",4,0,4,18
22,"DualProbe","Colour",4,1,17,18
22,"DualProbe","Colour",6,0,5,18
22,"DualProbe","Colour",6,1,15,18
22,"DualProbe","Shape",4,0,6,18
22,"DualProbe","Shape",4,1,15,18
22,"DualProbe","Shape",6,0,3,18
22,"DualProbe","Shape",6,1,12,18
22,"WholeDisplay","Binding",4,0,2,18
22,"WholeDisplay","Binding",4,1,10,18
22,"WholeDisplay","Binding",6,0,3,18
22,"WholeDisplay","Binding",6,1,9,18
22,"WholeDisplay","Colour",4,0,3,18
22,"WholeDisplay","Colour",4,1,16,18
22,"WholeDisplay","Colour",6,0,5,18
22,"WholeDisplay","Colour",6,1,8,18
22,"WholeDisplay","Shape",4,0,2,18
22,"WholeDisplay","Shape",4,1,16,18
22,"WholeDisplay","Shape",6,0,3,18
22,"WholeDisplay","Shape",6,1,10,18
23,"DualProbe","Binding",4,0,4,18
23,"DualProbe","Binding",4,1,12,18
23,"DualProbe","Binding",6,0,8,18
23,"DualProbe","Binding",6,1,12,18
23,"DualProbe","Colour",4,0,3,18
23,"DualProbe","Colour",4,1,18,18
23,"DualProbe","Colour",6,0,3,18
23,"DualProbe","Colour",6,1,14,18
23,"DualProbe","Shape",4,0,2,18
23,"DualProbe","Shape",4,1,17,18
23,"DualProbe","Shape",6,0,6,18
23,"DualProbe","Shape",6,1,12,18
23,"WholeDisplay","Binding",4,0,4,18
23,"WholeDisplay","Binding",4,1,8,18
23,"WholeDisplay","Binding",6,0,3,18
23,"WholeDisplay","Binding",6,1,8,18
23,"WholeDisplay","Colour",4,0,1,18
23,"WholeDisplay","Colour",4,1,17,18
23,"WholeDisplay","Colour",6,0,5,18
23,"WholeDisplay","Colour",6,1,8,18
23,"WholeDisplay","Shape",4,0,3,18
23,"WholeDisplay","Shape",4,1,14,18
23,"WholeDisplay","Shape",6,0,5,18
23,"WholeDisplay","Shape",6,1,12,18
24,"DualProbe","Binding",4,0,6,18
24,"DualProbe","Binding",4,1,12,18
24,"DualProbe","Binding",6,0,9,18
24,"DualProbe","Binding",6,1,13,18
24,"DualProbe","Colour",4,0,3,18
24,"DualProbe","Colour",4,1,16,18
24,"DualProbe","Colour",6,0,5,18
24,"DualProbe","Colour",6,1,13,18
24,"DualProbe","Shape",4,0,4,18
24,"DualProbe","Shape",4,1,16,18
24,"DualProbe","Shape",6,0,5,18
24,"DualProbe","Shape",6,1,8,18
24,"WholeDisplay","Binding",4,0,4,18
24,"WholeDisplay","Binding",4,1,11,18
24,"WholeDisplay","Binding",6,0,2,18
24,"WholeDisplay","Binding",6,1,14,18
24,"WholeDisplay","Colour",4,0,0,18
24,"WholeDisplay","Colour",4,1,17,18
24,"WholeDisplay","Colour",6,0,2,18
24,"WholeDisplay","Colour",6,1,10,18
24,"WholeDisplay","Shape",4,0,3,18
24,"WholeDisplay","Shape",4,1,17,18
24,"WholeDisplay","Shape",6,0,3,18
24,"WholeDisplay","Shape",6,1,11,18
